context,llm_responses,actual_target,actual_sentiment,complete_responses,extraction_model_response,extraction_response,regex_extraction
Sentence: Chime Communications Set To Be Acquired By WPP And Providence. Snippets: Chime Communications Set To Be Acquired By WPP And Providence. Target aspect: WPP,  Sure,WPP,0.202,"ModelResponse(id='8f00e37b3e4d5e70-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=138, total_tokens=140, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa2f877c87-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
"Sentence: CompaniesNew Aggreko CEO to reshape business, strip costs. Snippets: CompaniesNew Aggreko CEO to reshape business, strip costs. Target aspect: Aggreko",  Sure,Aggreko,0.177,"ModelResponse(id='8f00e37bbec18ce6-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=144, total_tokens=146, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa38f98c1d-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug. Snippets: AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug. Target aspect: Inovio,  Sure,Inovio,0.33,"ModelResponse(id='8f00e37b6a784308-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=155, total_tokens=157, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa699a1875-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Rio Tinto CEO says iron ore market at equilibrium. Snippets: Rio Tinto CEO says iron ore market at equilibrium. Target aspect: Rio Tinto,  Sure,Rio Tinto,0.0,"ModelResponse(id='8f00e37b68190f7c-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=131, total_tokens=133, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa7d7ac409-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: US sanctions put Gazprom-Shell alliance plans in jeopardy. Snippets: US sanctions put Gazprom-Shell alliance plans in jeopardy. Target aspect: Shell,  Sure,Shell,-0.314,"ModelResponse(id='8f00e37b9f594258-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=140, total_tokens=142, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa7c67efa5-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Standard Chartered Not Raising Capital Yet As Dividend Cut. Snippets: Standard Chartered Not Raising Capital Yet As Dividend Cut. Target aspect: Standard Chartered,  Sure,Standard Chartered,-0.158,"ModelResponse(id='8f00e37b994a5e80-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=139, total_tokens=141, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa6bfc437f-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Tesco share price dips as Blinkbox Books closes ending supermarket's digital .... Snippets: Tesco share price dips as Blinkbox Books closes ending supermarket's digital .... Target aspect: Blinkbox,  Sure,Blinkbox,-0.357,"ModelResponse(id='8f00e37bad718c30-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=149, total_tokens=151, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa6db8de95-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
"Sentence: UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn. Snippets: UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn. Target aspect: BHP",  Sure,BHP,-0.338,"ModelResponse(id='8f00e37bbda38c33-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=156, total_tokens=158, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa6ce9431a-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: CRH adds CR Laurence to acquisitions tally for $1.3bn. Snippets: CRH adds CR Laurence to acquisitions tally for $1.3bn. Target aspect: CRH,  Sure,CRH,0.231,"ModelResponse(id='8f00e37bab52424a-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=144, total_tokens=146, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa6a290f3f-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Stakes High for AstraZeneca Heart Drug Facing Tough Competition. Snippets: Stakes High for AstraZeneca Heart Drug Facing Tough Competition. Target aspect: AstraZeneca,  Sure,AstraZeneca,-0.24,"ModelResponse(id='8f00e37bb9b34310-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=147, total_tokens=149, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa6cb7f78f-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Shire to buy NPS for $5.2 billion to boost rare disease drugs. Snippets: Shire to buy NPS for $5.2 billion to boost rare disease drugs. Target aspect: Shire,  Sure,Shire,0.235,"ModelResponse(id='8f00e37bbeeb7d24-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=144, total_tokens=146, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa69644362-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Novartis buys remaining rights to GSK treatment in deal up to $1 billion. Snippets: Novartis buys remaining rights to GSK treatment in deal up to $1 billion. Target aspect: Novartis,  Sure,Novartis,0.217,"ModelResponse(id='8f00e37bab508c41-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=145, total_tokens=147, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa7b931849-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
"Sentence: AstraZeneca bags another cancer drug deal, this time with Inovio. Snippets: AstraZeneca bags another cancer drug deal, this time with Inovio. Target aspect: Inovio",  Sure,Inovio,0.316,"ModelResponse(id='8f00e37bbaf40f4f-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=145, total_tokens=147, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa89875e65-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm. Snippets: REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm. Target aspect: AXA,  Sure,AXA,-0.398,"ModelResponse(id='8f00e37bcdd3c409-EWR', created=1733872019, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=159, total_tokens=161, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa98500f7b-EWR', created=1734036167, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
"Sentence: L&G still paying price for dividend cut during crisis, chief says. Snippets: L&G still paying price for dividend cut during crisis, chief says. Target aspect: L&G",  Sure,L&G,-0.338,"ModelResponse(id='8f00e37bd8154373-EWR', created=1733872020, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=141, total_tokens=143, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afaa8e842d7-EWR', created=1734036167, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Buffett's Company Reports 37 Percent Drop in 2Q Earnings. Snippets: Buffett's Company Reports 37 Percent Drop in 2Q Earnings. Target aspect: Berkshire Hathaway Inc.,  Sure,Berkshire Hathaway Inc.,-0.566,"ModelResponse(id='8f00e37bda8c0fa8-EWR', created=1733872020, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=154, total_tokens=156, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa98534402-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
Sentence: Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise. Snippets: Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise. Target aspect: Travis Perkins,  Sure,Travis Perkins,0.769,"ModelResponse(id='8f00e37bdf967ca6-EWR', created=1733872020, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=152, total_tokens=154, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])","ModelResponse(id='8f108afa8a638c72-EWR', created=1734036166, model='together_ai/meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.0', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=58, total_tokens=62, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",0.0,0.0
