texts,llm_responses,actual_labels,complete_responses
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,1,0,1
"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .",1,0,1
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,1,0,1
"Capman , the Finnish alternative asset manager , has made an acquisition for its Helsinki-focused vehicle , Real Estate Fund I. The fund has bought a seven-story office built in 1973 that underwent refurbishment at the end of the 1990s .",2,2,2
The net sales of the Power Plants business were EUR 710.3 million in 2005 .,1,2,1
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1,0,1
"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",1,2,1
Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,1,2,1
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,2,1,2
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,2,2,2
"- The Group -娄 s profit before taxes was EUR 0,2 7,8 million .",2,2,2
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,1,2,1
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,1,2,1
The sellers were the founders of the company .,1,2,1
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",1,0,1
We can capitalize on our experience from a number of similar bridge projects in the Nordic countries .,2,0,2
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,2,1,2
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",2,2,2
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",1,2,1
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .",1,2,1
Operating profit improved by 16.7 % to EUR 7.7 mn .,1,0,1
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,2,2,2
"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",2,0,2
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,2,0,2
`` We want to serve K-citymarket customers by offering them interesting and topical selections .,1,2,1
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,1,0,1
The newspaper 's best sales asset is high quality journalism and journalistic content .,1,2,1
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",2,0,2
"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .",1,2,1
"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .",1,2,1
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",1,2,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",2,0,2
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",1,0,1
From Merisatama to the far corners of the world Asfaltti Osakeyhti+脗 Lemmink+帽inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,2,2,2
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",2,0,2
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",1,2,1
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",1,2,1
28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,1,0,1
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,2,2,2
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,2,1,2
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",1,1,1
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1,2,1
"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli",1,0,1
Cash flow from operating activities is estimated to be positive .,1,0,1
The contract is for next year .,2,2,2
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",1,2,1
hu will offer a further discount of between 25 % and 50 % on selected books .,1,2,1
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,2,0,2
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",1,2,1
Yvonne Jones is owner of Chameleon Interiors .,1,2,1
"However , the suspect stole his burgundy Nissan Altima .",1,1,1
The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .,2,0,2
Net profit in the same period in 2006 was (  x20ac ) 172 million .,2,2,2
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",1,0,1
Etteplan targets to employ at least 20 people in Borl+帽nge .,2,0,2
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,2,0,2
"This truly takes efficiency to new heights , '' Mr. Metso adds .",1,0,1
"Clothing retail chain Sepp+帽l+帽 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",1,0,1
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",1,2,1
"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",1,2,1
"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually .",2,0,2
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",1,2,1
The Group 's cash flow from operations will be positive .,1,0,1
"Body The credit falls due February 24 , 2014 .",2,2,2
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,2,1,2
"Finnish real estate company Sponda Oyj said on April 11 , 2008 it would build Vuosaari Harbour Service Center at the Port of Helsinki .",1,2,1
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,1,2,1
It will also strengthen Ruukki 's offshore business .,1,0,1
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",1,2,1
Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,1,2,1
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",1,0,1
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",2,1,2
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",1,2,1
The value of the orders is over EUR 25mn .,1,2,1
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",1,2,1
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,2,1
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",2,1,2
Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,1,2,1
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",1,2,1
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',1,2,1
Competition authorities will have to approve the deal before it can be finalized .,1,2,1
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",1,0,1
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,2,2,2
The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,2,1,2
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",2,2,2
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,1,1,1
Cargo volume grew by 7 % .,1,0,1
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,2,2,2
The company 's strength is its Apetit brand .,1,0,1
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .",2,0,2
"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .",1,2,1
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",2,1,2
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",2,2,2
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,1,0,1
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,1,2,1
The phones are targeted at first time users in growth markets .,1,2,1
The StoneGate UTM solution offers protection against inbound and outbound attacks .,1,0,1
"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",2,1,2
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),1,0,1
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",2,1,2
"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",2,2,2
"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .",2,2,2
"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .",2,2,2
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",1,0,1
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",2,1,2
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",2,1,2
The project is expected to be completed in 2009 .,1,2,1
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,1,2,1
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",1,0,1
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,2,2,2
"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes .",1,0,1
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -娄 s shares outstanding .",2,2,2
Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,1,2,1
Through this transaction we are able to participate in developing the industry .,2,0,2
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",2,1,2
"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa .",2,2,2
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",2,1,2
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",2,0,2
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",2,2,2
The policy was also aimed at making the companies more profitable and competitive .,1,0,1
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .,2,2,2
Net investment income,1,2,1
It delivers a different user experience and enables us to widen the market we can address . '',1,0,1
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",2,0,2
"In addition , the contract includes modification of the effluent treatment plant at Follum .",2,2,2
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",2,2,2
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",2,2,2
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",2,2,2
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",2,2,2
"Again , the most significant sales increase of 18.6 % was in Russia .",1,0,1
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,2,2,2
Viking Line has canceled some services .,1,1,1
"In Europe , the paper industry 's situation is paradoxical .",2,2,2
Aspo serves demanding business-to-business customers .,1,2,1
Sponda plans to renovate old real estate and develop new property .,1,2,1
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",1,0,1
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",2,0,2
"It combines a perfect price performance with sophisticated management facilities , the company said .",1,0,1
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",2,2,2
"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .",2,2,2
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,2,2,2
"According to the Act , universities can now acquire private funding .",1,2,1
"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .",1,1,1
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,1,0,1
The company will propose a dividend of EUR0 .12 per share for 2008 .,1,2,1
Nordea was the cheapest also for a couple in their 30s with debt .,1,2,1
"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .",2,0,2
"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States .",1,2,1
"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",1,2,1
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",2,1,2
Finnair was able to operate most of its leisure flights despite the strike .,1,0,1
No financial details were disclosed .,1,2,1
Odell has not contacted the State of Finland in this issue .,2,2,2
"After piloting , the instrument will be further developed according to the experiences gained .",2,2,2
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",2,2,2
The original contract was signed last summer .,2,2,2
Aspo 's net sales in 2006 totaled EUR 225.9 million .,1,2,1
"The opportunity will be available only for few employees , however .",2,2,2
"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",2,2,2
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",2,1,2
Fortum is now considering taking part in nuclear energy projects outside of Finland .,2,2,2
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",2,0,2
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,1,0,1
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",2,0,2
It will report full-year results on August 22 .,1,2,1
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,2,0,2
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .",1,2,1
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",1,2,1
"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",2,2,2
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,2,2,2
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",2,1,2
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",2,2,2
"The deal , already approved by shareholders , will be carried out in the first half of 2011 .",1,2,1
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",1,0,1
"Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+卢maco Borba mill in the Brazilian state of Paran+铆 .",1,0,1
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",1,0,1
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,1,2,1
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,1,0,1
"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",2,2,2
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",2,1,2
"In addition to Russia , we now seek additional growth in Ukraine .",1,0,1
"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",2,2,2
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",2,1,2
The capital structure of Solidium may be complemented by other financial instruments in the future .,2,2,2
Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,1,2,1
Active shipping is essential for Finland .,1,2,1
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,2,1,2
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",2,0,2
Otherwise the situation is under control .,1,2,1
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,2,2,2
The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,0,2,0
"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .",1,2,1
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",2,2,2
"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",2,2,2
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,1,2,1
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",1,1,1
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,2,2,2
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,1,0,1
"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .",2,2,2
"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook .",2,2,2
The value of the firm 's forestry holdings increased by SEK 3.6 bn .,1,0,1
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,2,0,2
"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",2,2,2
"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .",1,2,1
"According to Finnish financial services group Sampo 's CEO , Bj+脗rn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history .",1,2,1
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",2,1,2
"With this , the company will exit the contract manufacturing service segment .",2,2,2
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",1,0,1
The transaction value is CAD 15 million approximately EUR 10 million .,2,2,2
"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",2,2,2
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,1,2,1
hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,1,2,1
"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",1,2,1
The value of the order is around EUR 100 million .,1,2,1
"The contract , which was signed yesterday , will run for five years and includes a two-year extension option .",1,2,1
Pohjola and cooperative banks have continued to combine their branch office network .,2,2,2
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",1,0,1
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",0,2,0
Device volume in the area decreased by 21 % to 2.7 mn units .,2,1,2
