documents,llm_responses,actual_labels,complete_responses
still waiting on my new card,"card_arrival
",11,"ModelResponse(id='chatcmpl-af326ffa-95cf-4deb-a8a0-4f6e8e524cbd', created=1739131655, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=645, total_tokens=649, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I am still waiting for my card after 1 week.  Is this ok?,"card_arrival
",11,"ModelResponse(id='chatcmpl-361a3fed-5d5e-4be5-9299-967684fff728', created=1739131656, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=656, total_tokens=660, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","card_arrival
",11,"ModelResponse(id='chatcmpl-a672cbca-8dc8-49b6-9ec7-8fdf1a0f49ae', created=1739131656, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=661, total_tokens=665, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I've been waiting longer than expected for my card.,"card_arrival
",11,"ModelResponse(id='chatcmpl-a93d6133-0cfe-4f05-a3fb-32b33f99d9d0', created=1739131657, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Why hasn't my card been delivered?,"card_arrival
",11,"ModelResponse(id='chatcmpl-ac8b0aba-a1ed-45f2-9047-b8d4cddddeb0', created=1739131658, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=648, total_tokens=652, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Where is my new card? I have been waiting a week!,"card_arrival
",11,"ModelResponse(id='chatcmpl-b62aafa9-2ecb-4b78-829f-0c4584c4347d', created=1739131658, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=652, total_tokens=656, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
My card still hasn't arrived after 2 weeks. Is it lost?,"card_arrival
",11,"ModelResponse(id='chatcmpl-9799cbca-e616-4c70-9450-fdbc4e930f37', created=1739131659, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=655, total_tokens=659, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I did not get my card yet, is it lost?","card_arrival
",11,"ModelResponse(id='chatcmpl-2602c5b6-7017-4041-9d52-373d48f3deb1', created=1739131659, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Status of the card I ordered.,"card_arrival
",11,"ModelResponse(id='chatcmpl-c5957119-2e7e-4958-86fa-0f4d821421f9', created=1739131660, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=646, total_tokens=650, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How long should my new card take to arrive?,"card_arrival
",11,"ModelResponse(id='chatcmpl-e29148e2-8ecf-4f6d-a79f-38c6d6d72ced', created=1739131661, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=649, total_tokens=653, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I ordered my card 2 weeks ago and it still isn't here? What do I do?,"card_arrival
",11,"ModelResponse(id='chatcmpl-1c155faf-6336-4c37-a791-01c269861e8c', created=1739131661, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=660, total_tokens=664, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"My card has not arrived yet, where is it?","card_arrival
",11,"ModelResponse(id='chatcmpl-abb2fd6f-ac17-45f9-9307-1ccb9a858a26', created=1739131662, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=650, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
What is the tracking number for my card that was mailed?,"card_delivery_estimate
",11,"ModelResponse(id='chatcmpl-60f8835f-cc0b-4472-850c-5ae2aefbef93', created=1739131663, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_delivery_estimate\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=6, prompt_tokens=651, total_tokens=657, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I think something went wrong with my card delivery as I haven't received it yet.,"card_arrival
",11,"ModelResponse(id='chatcmpl-d9c81afc-c476-4cb2-a712-ca6efc4129de', created=1739131663, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=657, total_tokens=661, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I'm still waiting for delivery of my new card, why is it taking so long?","card_arrival
",11,"ModelResponse(id='chatcmpl-e1b0ad9e-bb4c-4d0f-86c2-279b1b01c865', created=1739131664, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=658, total_tokens=662, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I ordered a card a week ago, and it's still not here. What do I do?","card_arrival
",11,"ModelResponse(id='chatcmpl-2afa79f9-64fe-4135-b8fc-44beee1c2029', created=1739131664, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=660, total_tokens=664, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
i want to track the card you sent,"`card_arrival` 
",11,"ModelResponse(id='chatcmpl-3f291d95-2bc1-489d-ad92-a6be81398c68', created=1739131665, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='`card_arrival` \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=7, prompt_tokens=647, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
My card hasn't arrived yet.,"card_arrival
",11,"ModelResponse(id='chatcmpl-a0d334c4-2461-4747-b456-8d5b5a815236', created=1739131666, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=647, total_tokens=651, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I was expecting my new card and am wondering why I haven't received it yet?,"card_arrival
",11,"ModelResponse(id='chatcmpl-6c6e716a-2d39-48f6-9cd0-82be7338e359', created=1739131666, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=657, total_tokens=661, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How do I know when my card will arrive?,"card_arrival
",11,"ModelResponse(id='chatcmpl-8192d91e-a5eb-4fe2-bfa5-f87073aab82f', created=1739131667, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=649, total_tokens=653, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I'm still waiting on my card to be delivered.,"card_arrival
",11,"ModelResponse(id='chatcmpl-84b719ec-5d06-4c7d-a74a-73f353b42de9', created=1739131668, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Does the card you sent have a way to track to it?,"card_arrival
",11,"ModelResponse(id='chatcmpl-5b771f9a-47c8-4e95-9d99-5b007585cff6', created=1739131668, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=652, total_tokens=656, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I ordered a card and I still haven't received it. It's been two weeks. What can I do?,"card_arrival
",11,"ModelResponse(id='chatcmpl-7e3eb230-7a84-4c7f-a6ba-c7138fdd0871', created=1739131669, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=664, total_tokens=668, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I'm starting to think my card is lost because it still hasn't arrived, can you help?","card_arrival
",11,"ModelResponse(id='chatcmpl-e385f5d8-6d65-452b-992f-e9773a1fd494', created=1739131670, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=661, total_tokens=665, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Is there tracking info available?,"card_arrival
",11,"ModelResponse(id='chatcmpl-9207d275-97e0-44c8-8b88-68eb5d1c4030', created=1739131670, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=645, total_tokens=649, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
What is the tracking number for the card you sent?,"card_arrival
",11,"ModelResponse(id='chatcmpl-0f8d83e7-8101-447b-97cc-8e102861b3c1', created=1739131671, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_arrival\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=650, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Where is the tracking number for the card you sent me?,"`card_arrival` 
",11,"ModelResponse(id='chatcmpl-5cd8a92b-f891-4606-8f90-4c1c06a178af', created=1739131672, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='`card_arrival` \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=7, prompt_tokens=651, total_tokens=658, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Why won't my card show up on the app?,"card_linking
",13,"ModelResponse(id='chatcmpl-88ce589d-8627-4dd6-a9bd-c359b5fa8a50', created=1739131672, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
I would like to reactivate my card.,"activate_my_card
",13,"ModelResponse(id='chatcmpl-cb609ea6-88eb-48ca-a696-177f5358f0fe', created=1739131673, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='activate_my_card\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=6, prompt_tokens=648, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Where do I link the new card?,"card_linking
",13,"ModelResponse(id='chatcmpl-d362e00f-9acc-4742-a278-d60f9f563e26', created=1739131674, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=647, total_tokens=651, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I have received my card, can you help me put it in the app?","card_linking
",13,"ModelResponse(id='chatcmpl-f9529e95-7a28-489c-8914-a16d103f6e18', created=1739131674, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=655, total_tokens=659, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How do I link a card that I already have?,"card_linking
",13,"ModelResponse(id='chatcmpl-da7f6691-9105-4d7f-b70f-3c53772ad14a', created=1739131675, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=650, total_tokens=654, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I received my new card, but I don't see it in the app anywhere.  What do I do?","card_linking
",13,"ModelResponse(id='chatcmpl-69e4c091-50e6-4f7a-8dc6-e24b6b19c702', created=1739131675, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=663, total_tokens=667, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How do I re-add a card to the app?,"card_linking
",13,"ModelResponse(id='chatcmpl-3a2131cb-fc5c-4a14-94f4-1d5d123410ed', created=1739131676, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=651, total_tokens=655, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
How do I add the card to my account?,"card_linking
",13,"ModelResponse(id='chatcmpl-398c40a2-330b-4ef7-b8f0-efb51a76cba8', created=1739131677, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=649, total_tokens=653, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
Can I put my old card back into the system? I just found it/,"lost_or_stolen_card 
",13,"ModelResponse(id='chatcmpl-5c6cbfd7-fc19-4f6f-a488-67c1f8d82ffe', created=1739131677, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='lost_or_stolen_card \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=9, prompt_tokens=655, total_tokens=664, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
"I have one of your cards already, how do I link it?","card_linking
",13,"ModelResponse(id='chatcmpl-270ecadd-fabc-4fb8-8b7d-4b50fb37c13b', created=1739131678, model='gemini-1.5-pro-latest', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='card_linking\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=4, prompt_tokens=653, total_tokens=657, completion_tokens_details=None, prompt_tokens_details=None), vertex_ai_grounding_metadata=[], vertex_ai_safety_results=[], vertex_ai_citation_metadata=[])"
