documents,llm_responses,actual_labels,complete_responses,extracted_labels
I've been waiting longer than expected for my card.,"The sentence ""I've been waiting longer than expected for my card"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7c4da872efe-LAX', created=1732644050, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I\'ve been waiting longer than expected for my card"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=661, total_tokens=709, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Why hasn't my card been delivered?,"The sentence ""Why hasn't my card been delivered?"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7cc3dc22efe-LAX', created=1732644051, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Why hasn\'t my card been delivered?"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=45, prompt_tokens=658, total_tokens=703, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Where is my new card? I have been waiting a week!,"The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc7d0ec672efe-LAX', created=1732644052, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=29, prompt_tokens=662, total_tokens=691, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
My card still hasn't arrived after 2 weeks. Is it lost?,"The sentence ""My card still hasn't arrived after 2 weeks. Is it lost?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7d4285f2efe-LAX', created=1732644053, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card still hasn\'t arrived after 2 weeks. Is it lost?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=50, prompt_tokens=665, total_tokens=715, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I did not get my card yet, is it lost?","The sentence ""I did not get my card yet, is it lost?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7d9f9592efe-LAX', created=1732644054, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I did not get my card yet, is it lost?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=46, prompt_tokens=661, total_tokens=707, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Status of the card I ordered.,"The sentence ""Status of the card I ordered"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc7e10b322efe-LAX', created=1732644055, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Status of the card I ordered"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=656, total_tokens=679, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How long should my new card take to arrive?,"The sentence ""How long should my new card take to arrive?"" belongs to the category **card_delivery_estimate**. 
",11,"ModelResponse(id='8e8bc7e5897e2efe-LAX', created=1732644055, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How long should my new card take to arrive?"" belongs to the category **card_delivery_estimate**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=659, total_tokens=687, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I ordered my card 2 weeks ago and it still isn't here? What do I do?,"The sentence ""I ordered my card 2 weeks ago and it still isn't here? What do I do?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7ea1ff42efe-LAX', created=1732644056, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered my card 2 weeks ago and it still isn\'t here? What do I do?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=55, prompt_tokens=670, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"My card has not arrived yet, where is it?","The sentence ""My card has not arrived yet, where is it?"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc7f0c8be2efe-LAX', created=1732644057, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card has not arrived yet, where is it?"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=27, prompt_tokens=660, total_tokens=687, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
What is the tracking number for my card that was mailed?,"The sentence ""What is the tracking number for my card that was mailed?"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc7f6c9912efe-LAX', created=1732644058, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""What is the tracking number for my card that was mailed?"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=661, total_tokens=709, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I think something went wrong with my card delivery as I haven't received it yet.,"The sentence ""I think something went wrong with my card delivery as I haven't received it yet."" belongs to the category **card_delivery_estimate**. 


Here's why:

* **Focus on Delivery:** The sentence explicitly mentions ""card delivery"" and the lack of receipt.
* **Implied Issue:** The phrase ""something went wrong"" suggests a problem with the expected delivery process. 
",11,"ModelResponse(id='8e8bc7fc49e92efe-LAX', created=1732644059, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I think something went wrong with my card delivery as I haven\'t received it yet."" belongs to the category **card_delivery_estimate**. \n\n\nHere\'s why:\n\n* **Focus on Delivery:** The sentence explicitly mentions ""card delivery"" and the lack of receipt.\n* **Implied Issue:** The phrase ""something went wrong"" suggests a problem with the expected delivery process. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=87, prompt_tokens=667, total_tokens=754, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
"I'm still waiting for delivery of my new card, why is it taking so long?","The sentence ""I'm still waiting for delivery of my new card, why is it taking so long?"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc8052f332efe-LAX', created=1732644061, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I\'m still waiting for delivery of my new card, why is it taking so long?"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=55, prompt_tokens=668, total_tokens=723, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
"I ordered a card a week ago, and it's still not here. What do I do?","The sentence ""I ordered a card a week ago, and it's still not here. What do I do?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc80a6f152efe-LAX', created=1732644061, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered a card a week ago, and it\'s still not here. What do I do?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=55, prompt_tokens=670, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
i want to track the card you sent,"The sentence ""i want to track the card you sent"" belongs to the category **card_delivery_estimate**. 


Here's why:

* **Focus on tracking:** The user explicitly expresses a desire to track the card.
* **""You sent"":**  This implies the user is referring to a card that has been ordered or shipped. 

Let me know if you have another sentence you'd like me to categorize! 
",11,"ModelResponse(id='8e8bc811b9a82efe-LAX', created=1732644063, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""i want to track the card you sent"" belongs to the category **card_delivery_estimate**. \n\n\nHere\'s why:\n\n* **Focus on tracking:** The user explicitly expresses a desire to track the card.\n* **""You sent"":**  This implies the user is referring to a card that has been ordered or shipped. \n\nLet me know if you have another sentence you\'d like me to categorize! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=95, prompt_tokens=657, total_tokens=752, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
My card hasn't arrived yet.,"The sentence ""My card hasn't arrived yet"" belongs to the category **'card_arrival'**. 
",11,"ModelResponse(id='8e8bc81bf99f2efe-LAX', created=1732644064, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card hasn\'t arrived yet"" belongs to the category **\'card_arrival\'**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=657, total_tokens=683, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I was expecting my new card and am wondering why I haven't received it yet?,"The sentence ""I was expecting my new card and am wondering why I haven't received it yet?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc8219a492efe-LAX', created=1732644065, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I was expecting my new card and am wondering why I haven\'t received it yet?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=52, prompt_tokens=667, total_tokens=719, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How do I know when my card will arrive?,"The sentence ""How do I know when my card will arrive?"" belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc828ccf62efe-LAX', created=1732644066, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How do I know when my card will arrive?"" belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=659, total_tokens=685, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I'm still waiting on my card to be delivered.,"The sentence ""I'm still waiting on my card to be delivered"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc82d7c8a2efe-LAX', created=1732644067, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I\'m still waiting on my card to be delivered"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=661, total_tokens=709, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Does the card you sent have a way to track to it?,"This sentence belongs to the **card_delivery_estimate** category. 

The user is asking about the tracking capabilities of the delivered card. 


",11,"ModelResponse(id='8e8bc8330cc62efe-LAX', created=1732644068, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='This sentence belongs to the **card_delivery_estimate** category. \n\nThe user is asking about the tracking capabilities of the delivered card. \n\n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=33, prompt_tokens=662, total_tokens=695, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
I ordered a card and I still haven't received it. It's been two weeks. What can I do?,"The sentence belongs to the category **card_arrival**. 
",11,"ModelResponse(id='8e8bc836ba202efe-LAX', created=1732644068, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence belongs to the category **card_arrival**. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=15, prompt_tokens=674, total_tokens=689, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I'm starting to think my card is lost because it still hasn't arrived, can you help?","The sentence ""I'm starting to think my card is lost because it still hasn't arrived, can you help?"" belongs to the category **card_arrival**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc83b99172efe-LAX', created=1732644069, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I\'m starting to think my card is lost because it still hasn\'t arrived, can you help?"" belongs to the category **card_arrival**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=56, prompt_tokens=671, total_tokens=727, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is there tracking info available?,"The sentence ""Is there tracking info available?"" most likely belongs to the **card_delivery_estimate** category. 

Here's why:

* **Focus on delivery:** The question directly asks about tracking information, which is typically associated with the delivery process of a physical card.


Let me know if you have any other sentences you'd like me to categorize! 
",11,"ModelResponse(id='8e8bc8430bf02efe-LAX', created=1732644070, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is there tracking info available?"" most likely belongs to the **card_delivery_estimate** category. \n\nHere\'s why:\n\n* **Focus on delivery:** The question directly asks about tracking information, which is typically associated with the delivery process of a physical card.\n\n\nLet me know if you have any other sentences you\'d like me to categorize! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=80, prompt_tokens=655, total_tokens=735, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
What is the tracking number for the card you sent?,"**card_delivery_estimate** 


The sentence is asking for information about the tracking number of a sent card, which directly relates to the estimated delivery time. 
",11,"ModelResponse(id='8e8bc84ccbb62efe-LAX', created=1732644072, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='**card_delivery_estimate** \n\n\nThe sentence is asking for information about the tracking number of a sent card, which directly relates to the estimated delivery time. \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=37, prompt_tokens=660, total_tokens=697, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Where is the tracking number for the card you sent me?,"The sentence ""Where is the tracking number for the card you sent me?"" belongs to the category **card_delivery_estimate**. 


Let me know if you have another sentence you'd like me to classify! 
",11,"ModelResponse(id='8e8bc852dc912efe-LAX', created=1732644073, model='together_ai/google/gemma-2-9b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Where is the tracking number for the card you sent me?"" belongs to the category **card_delivery_estimate**. \n\n\nLet me know if you have another sentence you\'d like me to classify! \n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=661, total_tokens=709, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
