news,llm_responses,complete_responses,actual_labels,extracted_labels
"e*trade: gold, financials, shorting all ways to play inflation","0, 1, 0, 0, 0, 0, 0.","ModelResponse(id='chatcmpl-363763e9-f949-fb03-1fa2-9335e20be156', created=1738130259, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 0, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=208, total_tokens=230, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[0, 0, 0, 0, 0, 0, 1]",
Gold prices mark first gain in four sessions,"0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-abf74ed1-641c-0804-ac32-c07afd8de3c6', created=1738130260, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=200, total_tokens=222, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
Bearish trend in gold; all eyes now on US,"0, 0, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-553443fc-f719-7c75-554e-2d9d8523ea23', created=1738130260, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=203, total_tokens=225, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
gold futures fall 0.7% on dollar advance,"0, 0, 1, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-446828fe-81bf-2b87-dbc4-0554299a101e', created=1738130260, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 1, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=203, total_tokens=225, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
spot gold quoted at $474.50 in asia trade,0.,"ModelResponse(id='chatcmpl-14adc490-25e3-572d-a3ee-2b66b9d07a11', created=1738130260, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=207, total_tokens=212, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
gold prices fall as dollar extends gains,"0, 0, 1, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-00b5d743-98b3-8aea-3b96-fe73f5c215d0', created=1738130261, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 1, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=199, total_tokens=221, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
gold futures log lowest finish since june,"0, 0, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-4fc9892f-08dc-522d-3f0e-bd3b99fe21fa', created=1738130261, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=200, total_tokens=222, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
peru's gold production rises in july,0.,"ModelResponse(id='chatcmpl-60e15191-609c-fece-837c-33a944609902', created=1738130261, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=202, total_tokens=207, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[0, 0, 0, 0, 0, 0, 1]",
"gold futures up; market eyes economic data, iraq","Here's the analysis of the headline ""gold futures up; market eyes economic data, iraq"":

* **Price or Not:** 1 (mentions ""gold futures up"")
* **Direction Up:** 1 (mentions ""up"")
* **Direction Down:** 0 (does not mention ""down"")
* **Direction Constant:** 0 (does not mention ""constant"")
* **Past Price:** 0 (does not mention a past price event)
* **Future Price:** 0 (does not mention a future price event)
* **Past News:** 0 (does","ModelResponse(id='chatcmpl-4308d33f-e8f2-2635-798f-ecc66f3caecf', created=1738130262, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Here\'s the analysis of the headline ""gold futures up; market eyes economic data, iraq"":\n\n* **Price or Not:** 1 (mentions ""gold futures up"")\n* **Direction Up:** 1 (mentions ""up"")\n* **Direction Down:** 0 (does not mention ""down"")\n* **Direction Constant:** 0 (does not mention ""constant"")\n* **Past Price:** 0 (does not mention a past price event)\n* **Future Price:** 0 (does not mention a future price event)\n* **Past News:** 0 (does', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=204, total_tokens=332, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
spot gold quoted at $404.10 in asia,0.,"ModelResponse(id='chatcmpl-18fe9d36-b74f-3760-62e4-59cc1ecb3f41', created=1738130263, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=206, total_tokens=211, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
Gold marks longest win streak in 2 months as U.S. dollar sinks,"0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-853ed2ee-d8f7-87ca-add4-10855b0a8d7e', created=1738130263, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=208, total_tokens=230, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
"Gold hits 4-week high as central bank meetings, Brexit vote shake stocks","0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-e0e3851f-8157-5830-a3d4-56cc3acf0bf3', created=1738130263, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=208, total_tokens=230, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
sharps pixley: what happens to gold in a global equities crash?,"0, 0, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-20c04a40-5907-5511-d6e2-8a969eab0e59', created=1738130264, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=207, total_tokens=229, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[0, 0, 0, 0, 0, 0, 0]",
"Buy if gold dips to $1,210/oz on Comex","0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-7d9c6613-820e-a33a-62ec-17281ba5d0b2', created=1738130264, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=208, total_tokens=230, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 0, 1, 0]",
Gold futures seesaw between losses and gains as Fed's Yellen speaks,"Here's the analysis of the headline:

* **Price or Not:** 1 (The headline mentions ""futures"" which are financial contracts tied to the price of gold.)
* **Direction Up:** 0
* **Direction Down:** 0
* **Direction Constant:** 0
* **Past Price:** 0
* **Future Price:** 0
* **Past News:** 0

**Overall Score:** 1 


Let me know if you'd like me to analyze another headline!","ModelResponse(id='chatcmpl-0a5eaa42-be62-2a28-840d-c56f32b51917', created=1738130265, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='Here\'s the analysis of the headline:\n\n* **Price or Not:** 1 (The headline mentions ""futures"" which are financial contracts tied to the price of gold.)\n* **Direction Up:** 0\n* **Direction Down:** 0\n* **Direction Constant:** 0\n* **Past Price:** 0\n* **Future Price:** 0\n* **Past News:** 0\n\n**Overall Score:** 1 \n\n\nLet me know if you\'d like me to analyze another headline! \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=116, prompt_tokens=207, total_tokens=323, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
Gold marks 4th-straight session loss; palladium ends at lowest since 2014,"0, 0, 1, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-df56f454-31c9-bd8e-9972-7dafa7cc11ce', created=1738130266, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 1, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=213, total_tokens=235, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
Adopt a gold-backed dollar? This is what happened the last time we tried,"0, 0, 0, 0, 1, 0, 1.","ModelResponse(id='chatcmpl-5ee54ec6-8b8b-e938-32b4-9ec6da249f5b', created=1738130266, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 0, 0, 0, 1, 0, 1.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=209, total_tokens=231, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[0, 0, 0, 0, 0, 0, 1]",
gold futures end the week with a 5.2% gain,"0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-4ac1c988-d67b-dfc0-e161-0912e01d1073', created=1738130266, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=205, total_tokens=227, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
"Gold falls to Rs 29,050; silver down at Rs 38,500 per kg","Here's the analysis of the headline based on the provided attributes:

* **Price or Not:** 1 (The headline mentions the price of gold and silver.)
* **Direction Up:** 0 (The headline does not mention the price going up.)
* **Direction Down:** 1 (The headline mentions that gold and silver prices are falling.)
* **Direction Constant:** 0 (The headline does not mention the price remaining constant.)
* **Past Price:** 1 (The headline refers to the current or past prices of gold and silver.)
* **Future Price:** 0 (The headline does","ModelResponse(id='chatcmpl-f4b74d8d-5522-ccb4-6e3c-41253ef5e3f1', created=1738130267, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content=""Here's the analysis of the headline based on the provided attributes:\n\n* **Price or Not:** 1 (The headline mentions the price of gold and silver.)\n* **Direction Up:** 0 (The headline does not mention the price going up.)\n* **Direction Down:** 1 (The headline mentions that gold and silver prices are falling.)\n* **Direction Constant:** 0 (The headline does not mention the price remaining constant.)\n* **Past Price:** 1 (The headline refers to the current or past prices of gold and silver.)\n* **Future Price:** 0 (The headline does"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=217, total_tokens=345, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
citibank: 'new normal' of geopolitical risk likely to boost gold prices in coming years,"0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-4b8ae11b-56f5-c0f8-df42-28a22c333adf', created=1738130268, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=211, total_tokens=233, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
"gold logs minor gain with eyes on dollar, draghi","Here's the analysis of the headline ""gold logs minor gain with eyes on dollar, Draghi"":

* **Price or Not:** 1 (The headline mentions ""minor gain"" which implies a change in price.)
* **Direction Up:** 1 (The phrase ""minor gain"" suggests an upward movement in price.)
* **Direction Down:** 0 (There is no indication of a downward movement in price.)
* **Direction Constant:** 0 (The headline does not mention anything about the price remaining constant.)
* **Past Price:** 1 (The headline refers to a recent event with ""logs","ModelResponse(id='chatcmpl-ae9ca88a-db13-73a9-0e77-ab99abfde215', created=1738130268, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Here\'s the analysis of the headline ""gold logs minor gain with eyes on dollar, Draghi"":\n\n* **Price or Not:** 1 (The headline mentions ""minor gain"" which implies a change in price.)\n* **Direction Up:** 1 (The phrase ""minor gain"" suggests an upward movement in price.)\n* **Direction Down:** 0 (There is no indication of a downward movement in price.)\n* **Direction Constant:** 0 (The headline does not mention anything about the price remaining constant.)\n* **Past Price:** 1 (The headline refers to a recent event with ""logs', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=203, total_tokens=331, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
Gold prices end higher for the first time in four sessions,"0, 1, 0, 0, 1, 0, 0.","ModelResponse(id='chatcmpl-4e4ce10f-e5fd-f108-faef-95abe9860e7c', created=1738130269, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 1, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=203, total_tokens=225, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
gold futures down 80c at $945.00 an ounce,0.,"ModelResponse(id='chatcmpl-4a499198-a5f4-8763-b73c-843d7210d2af', created=1738130269, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=209, total_tokens=214, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
gold prices edge up in asia on bargin-hunting,"Here's the analysis of the headline ""gold prices edge up in asia on bargin-hunting"":

* **Price or Not:** 1 (The headline mentions ""gold prices"").
* **Direction Up:** 1 (The headline mentions ""edge up"").
* **Direction Down:** 0 (The headline does not mention ""down"").
* **Direction Constant:** 0 (The headline does not mention ""constant"").
* **Past Price:** 0 (The headline does not specify a time frame, so it's not explicitly about the past).
* **Future Price:** 0 (","ModelResponse(id='chatcmpl-d9c502fe-4cba-c198-6c24-d45a73ab4dc0', created=1738130270, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='length', index=0, message=Message(content='Here\'s the analysis of the headline ""gold prices edge up in asia on bargin-hunting"":\n\n* **Price or Not:** 1 (The headline mentions ""gold prices"").\n* **Direction Up:** 1 (The headline mentions ""edge up"").\n* **Direction Down:** 0 (The headline does not mention ""down"").\n* **Direction Constant:** 0 (The headline does not mention ""constant"").\n* **Past Price:** 0 (The headline does not specify a time frame, so it\'s not explicitly about the past).\n* **Future Price:** 0 (', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=128, prompt_tokens=205, total_tokens=333, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
"June gold climbs 70 cents to trade at $1,284.10/oz",0.,"ModelResponse(id='chatcmpl-730c8674-2cfb-4715-e264-5c7c20579658', created=1738130270, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=213, total_tokens=218, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 1, 0, 0, 1, 0, 0]",
buy gold on dips: ashwani gujral,"0, 1, 0, 0, 0, 0, 0.","ModelResponse(id='chatcmpl-6da7d63a-b168-cbfa-fc0f-230cb4e569d3', created=1738130270, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0, 1, 0, 0, 0, 0, 0.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=203, total_tokens=225, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
"Dec. gold loses $6.70, or 0.5%, to settle at $1,323.70/oz",0.,"ModelResponse(id='chatcmpl-28e816bd-92d7-dcdb-b900-8ea46ab4ea4a', created=1738130271, model='ai21_chat/jamba-1.5-mini', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0.\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=5, prompt_tokens=223, total_tokens=228, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)","[1, 0, 1, 0, 1, 0, 0]",
