prompt,answer,book_name,chapter_number,chapter_name
"11. A _____________ is a firm that has sold its stock by making it available to be bought and sold by outside investors.

A: business entity
B: private company
C: public company
D: public proprietorship",C: public company,"Principles of Economics, 3rd Edition",17,financial markets
"12. The _________ of an investment is determined by how easy it is to sell an asset at any given time.

A: profitability
B: expected profitability
C: liquidity
D: sustainable outcome",C: liquidity,"Principles of Economics, 3rd Edition",17,financial markets
"13. A  ________________ operates directly between a saver with financial assets to invest and an entity who will receive those assets in exchange for paying a ________________ .

A: public company; higher rate of interest
B: financial intermediary; rate of return
C: private company; higher rate of interest
D: stock market; rate of return",B: financial intermediary; rate of return,"Principles of Economics, 3rd Edition",17,financial markets
"14. How has the widespread adoption of debit cards as the preferred method of payment for consumer purchases likely affected bank administration costs?

A: the cost of bank administration is unaffected by widespread use of debit cards
B: costs increased due to high cost of developing and maintaining debit card technology
C: administration costs increased because the cost of electricity means high-cost for electronic transactions
D: costs are reduced because the cost of purchase is immediately debited from purchaser's checking account",D: costs are reduced because the cost of purchase is immediately debited from purchaser's checking account,"Principles of Economics, 3rd Edition",17,financial markets
"15. A checking account typically pays __________________, but gives easy access to your money, either by writing a check or by using ______________.

A: no interest; a credit card
B: between 3% and 5% interest; a credit card
C: little or no interest; a debit card
D: between 2% and 4% interest; a debit card",C: little or no interest; a debit card,"Principles of Economics, 3rd Edition",17,financial markets
"16. Which of the following is a feature that typically distinguishes a savings account from a checking account?

A: pays interest
B: less liquidity
C: automatic teller machine access is available for checking accounts
D: withdrawals require a trip to the bank by the account holder",A: pays interest,"Principles of Economics, 3rd Edition",17,financial markets
"17. In January 2001, Bianca invested $5,000 for three years at 4.20%; in January 2010, she invested $5,000 for two years at 3.81%; and, in January 2011, she invested $5,000 for one year at 3.55%.  Bianca’s savings account in each year paid 2.8%, 1.59%, and 1.13% respectively.  In January, 2014, if Bianca reinvests her initial capital of $15,000., plus the interest it has earned for another two-year term, her bank will likely offer to pay a higher rate of return

A: to compensate for junk bonds relatively high chance of default.
B: as compensation for the relatively high chance of bank failures.
C: to match the rate of return that its bonds are expected to pay at the time of purchase.
D: on the CD in exchange for her promise to leave the funds invested for the set-term.",D: on the CD in exchange for her promise to leave the funds invested for the set-term.,"Principles of Economics, 3rd Edition",17,financial markets
"18. ________________ are a form of _______ bonds that offer relatively high interest rates to compensate for their relatively high chance of default.

A: Bonds; government
B: High-yield bonds; municipal
C: Junk bonds; corporate
D: Certificates of deposit; bank",C: Junk bonds; corporate,"Principles of Economics, 3rd Edition",17,financial markets
"19. The term __________ refers to the  __________ that a bond is expected to pay at the time of purchase.

A: rate of interest; yield rate
B: bond yield; rate of return
C: rate of interest; rate of return
D: yield rate; bond rate",B: bond yield; rate of return,"Principles of Economics, 3rd Edition",17,financial markets
"20. Michael purchased 5,000 shares of IMAGoldMiner Inc. in May for $0.55 each.  He purchased 5,000 more at $0.75 cents in June and another 5,000 for $1.02 in July.  In October, IMAGoldMiner began production at its new gold mine and Michael was able to sell 5,000 shares at $2.05, another 5,000 at $3.25 and the remaining 5000 at $4.50.  In this instance, Michael

A: is trading on fundamentals.
B: profited by momentum trading.
C: is diversifying his investments.
D: traded based on future expected profits.",B: profited by momentum trading.,"Principles of Economics, 3rd Edition",17,financial markets
"21. During the U.S. stock market collapse of 2007, Paula's financial advisor recommended that she invest in a number of pharmaceutical companies while their stock values were down considerably.  He expected these companies to maintain high dividend yields, making them attractive to investors.  If Paula follows her financial advisor's recommendations, she is

A: likely investing in an index fund.
B: diversifying her investment portfolio.
C: following momentum trading advice.
D: following fundamental trading advice.",D: following fundamental trading advice.,"Principles of Economics, 3rd Edition",17,financial markets
"22. Stock markets often experience a frenzy of buying or selling when investors are ___________________ by following the current trend in a very actively traded company.

A: momentum trading
B: trading on fundamentals
C: diversifying their portfolios
D: decreasing investment yields",A: momentum trading,"Principles of Economics, 3rd Edition",17,financial markets
"23. In the investment industry, the principle of _______________  supports investing in a wide range of companies to reduce the level of risk.

A: subprime loans
B: diversification
C: fundamentals trading
D: buying low and selling high",B: diversification,"Principles of Economics, 3rd Edition",17,financial markets
"24. Each year banks typically offer a wide range of ____________ comprised of ______________________from a variety of different companies.

A: index funds; guaranteed equity investments
B: mutual funds; a range of stocks or bonds
C: index funds; capital gains from trading stocks
D: mutual funds; a range of stocks",B: mutual funds; a range of stocks or bonds,"Principles of Economics, 3rd Edition",17,financial markets
"25. Bill and Cathy built a new home in 1985 at a cost of $90,000.00.  They paid 20% of the cost to build the home themselves and financed the remainder by way of a mortgage.  They paid the mortgage off in 15 years.  They used $35,000 from Bill's inheritance to upgrade the home in 2004. When they sold the home for $335,000.00 in 2006, what was the value of their equity?

A: $35,000
B: $245,000
C: $210,000
D: $335,000","D: $335,000","Principles of Economics, 3rd Edition",17,financial markets
"26. In 2004, Ted and Diane paid 20% down and took out a five-year mortgage for the balance of the $265,000 price of a home.  After deducting interest, their monthly payments toward the principle balance owed on the mortgage was reduced by $2,000.00 each year.  If they were to sell their home in 2009, it would sell for $215,000.  What is the equity in their home?

A: $13,000
B: $50,000
C: $163,000
D: $202,000","A: $13,000","Principles of Economics, 3rd Edition",17,financial markets
"000. $2,000 x 5 = $10,000.
$265,000- 53,000 - 10,000 = $202,000
$215,000 - 202,000 = $13,000
Type: Multiple Choice          Difficulty: Hard          Category: Apply
27. Alysa and Todd purchased a home in 1999 for $80,000 with no down payment.  In 2004, they were able to refinance their mortgage on the home for $140,000. They reinvested $75,000 into the home, adding a new addition and making upgrades.  In 2006, the couple sold the home for $320,000.  What was the value of Alysa and Todd's equity in 2006?

A: $250,000
B: $180,000
C: $240,000
D: $60,000","B: $180,000","Principles of Economics, 3rd Edition",17,financial markets
"28. Holly and Josh paid 10% down for their $245,000 home in 2004.  If they sell their house for $255,000 in 2010, what will the value of their equity be?

A: $5,000
B: $29,500
C: $24,500
D: $30,000","B: $29,500","Principles of Economics, 3rd Edition",17,financial markets
"500. $24,500 + $5,000 = $29,500.00
Type: Multiple Choice          Difficulty: Hard          Category: Apply
29. Riley and Sue paid 30% down for a house valued at $135,000 in 2013.  If they sell the house in 2017 for $140,000, what will the value of their equity be?

A: $40,500
B: $35,500
C: $45,500
D: $5,000","C: $45,500","Principles of Economics, 3rd Edition",17,financial markets
"30. Levi and Beverly paid 20% down on a house valued at $165,000 in 1994.  They upgraded the house entirely in 2003, when they refinanced their mortgage for $165,000.  If they sell the house in 2018 for $190,000, what would be the value of their equity in the home?

A: $68,000
B: $58,000
C: $33,000
D: $25,000","D: $25,000","Principles of Economics, 3rd Edition",17,financial markets
"31. Trevor and Lynda bought a home in 20013 for $185,000 with a 20% down payment.  Their mortgage payments were only applied to interest on the mortgage balance.  If they have to sell their home in 2016 for $148,000, what would be the value of their equity?

A: 0
B: $37,000
C: $11,100
D: $29,600",A: 0,"Principles of Economics, 3rd Edition",17,financial markets
"32. Why do business firms need financial capital?

A: to lend to other businesses
B: to make real physical capital investments
C: to provide an alternate source of revenue for households
D: to make diversified capital investments",B: to make real physical capital investments,"Principles of Economics, 3rd Edition",17,financial markets
"33. _______________________ find ways to take the inflow of funds from many separate _________ of financial capital and transform it into the funds desired by _______________ of financial capital.

A: Financial intermediaries; high risks; suppliers
B: Governments; suppliers; demanders
C: Financial capital markets; suppliers; demanders
D: Venture capital funds; the risks; demanders",C: Financial capital markets; suppliers; demanders,"Principles of Economics, 3rd Edition",17,financial markets
"34. What do stocks, bonds, securitized mortgage assets and other financial investments all have in common?

A: they are all forms of investments bought by demanders of capital
B: they all guarantee rates of return
C: they can only be purchased in financial markets
D: their values are tracked by the Dow Jones Industrial Average",C: they can only be purchased in financial markets,"Principles of Economics, 3rd Edition",17,financial markets
"35. Which of the following belongs in the range of financial investment options available to U.S. households?

A: tangible assets
B: venture capital funds
C: direct loans to established businesses
D: direct loans to start-up business firms",A: tangible assets,"Principles of Economics, 3rd Edition",17,financial markets
"36. In choosing between the range of alternative investments typically available to U.S. households, which of the following will play a role in influencing their selection of a particular investment type?

A: the expected rate of return, risk, and liquidity of each kind of investment
B: the interest rate and the expected rate of return
C: whether or not the majority of households are early stage investors
D: the form of dividends, angel investors, future expectations",B: the interest rate and the expected rate of return,"Principles of Economics, 3rd Edition",17,financial markets
"37. Which of the following is considered to be a method that firms can use to raise the financial capital that they need to pay for modernizing their production plants?

A: reinvesting profits
B: investments by late stage investors
C: borrowing large sums directly from households
D: increasing dividends to attract new investors",A: reinvesting profits,"Principles of Economics, 3rd Edition",17,financial markets
"38. Which of the following is not an ironclad rule in the financial markets?

A: borrowing from a bank works better for large, well-known corporations
B: banks fund small business loans and large firms issue bonds to raise money
C: a bank can monitor a large established firm's better than a new small business
D: relatively large and well-known firms typically never borrow from banks",B: banks fund small business loans and large firms issue bonds to raise money,"Principles of Economics, 3rd Edition",17,financial markets
"39. The City of Washington needs to upgrade its levies and its water drainage systems.  The cost will exceed the amount of tax revenue the City expects to receive over the next 10 years.  How will the City be able to raise the funds needed to finance this upgrade?

A: issue Treasury Bonds
B: issue municipal bonds
C: borrow from Banks
D: borrow from large corporations",B: issue municipal bonds,"Principles of Economics, 3rd Edition",17,financial markets
"40. XYZ Corporation plans to open a manufacturing plant in China, but the company has not retained any of its yearly profits for this purpose.  How will XYZ Corporation likely raise the money to finance its offshore expansion?

A: sale of bonds to institutional investors
B: sale of bonds to municipal households
C: by issuing Treasury bills
D: by encouraging momentum selling of its stock",A: sale of bonds to institutional investors,"Principles of Economics, 3rd Edition",17,financial markets
"41. The ownership in a company is represented by ________________ and those who are legally recognized as having ownership in a company are called _____________.

A: ownership of the shares with voting rights; shareholders
B: shares with voting rights; stockholders
C: ownership of stock; stockholders
D: ownership of shares in the company's stock; shareholders",D: ownership of shares in the company's stock; shareholders,"Principles of Economics, 3rd Edition",17,financial markets
"42. Small companies typically prefer____________ to borrowing from a bank because it is a source of funding where the company is not obligated to _____________________ .

A: issuing bonds; to proceed with an IPO
B: an IPO; issue bonds
C: an IPO; make interest payments
D: issuing bonds; make interest payments",C: an IPO; make interest payments,"Principles of Economics, 3rd Edition",17,financial markets
"43. How would a sustained increase in the market price of its shares directly benefit a publicly traded company?

A: It will be able to lower the dividend yield on its preferred shares.
B: It will be able to borrow larger sums from other companies.
C: It would be able to borrow larger sums from banks.
D: It could sell any shares it owns in itself at the higher valuation.",D: It could sell any shares it owns in itself at the higher valuation.,"Principles of Economics, 3rd Edition",17,financial markets
"44. Which of the following is not a typical question that must be answered with regard to a private company that is owned by a large number of shareholders?

A: How and when does the company get money from the sale of its stock?
B: What rate of return does the company promise to pay when it sells stock?
C: What is the dividend yield on preferred shares of companies that hold this stock?
D: Who makes decisions in a company owned by a large number of shareholders?",C: What is the dividend yield on preferred shares of companies that hold this stock?,"Principles of Economics, 3rd Edition",17,financial markets
"45. I'MAStart-UP Corp. issued and sold 2,500,000 common voting shares during its first public stock sale.  What is the minimum number of shares needed to be able to elect a new director to the Board?

A: 1.275 million
B: 1.25 million
C: 1.225 million
D: 2.5 million",B: 1.25 million,"Principles of Economics, 3rd Edition",17,financial markets
"46. Why would a large publicly traded corporation likely prefer issuing bonds as a way to raise new money as opposed to issuing more shares?

A: the rate of return the corporation promised will be more difficult to deliver
B: more shares will dilute the existing value of the stock, causing its market price to fall
C: the market will view the new share issue as a sign the company is in financial difficulty
D: issuing bonds is a more secure method for corporations to raise needed money","B: more shares will dilute the existing value of the stock, causing its market price to fall","Principles of Economics, 3rd Edition",17,financial markets
"47. If a $1,000 five-year bond that was issued at an interest rate of 7% is offered for sale one year before it matures, and the current interest is 5%,  how much should an investor be willing to pay for it?

A: $1,019
B: $1,124
C: $1,050
D: $952","A: $1,019","Principles of Economics, 3rd Edition",17,financial markets
"48. Last year Stealth Bank received $100 million in interest payments from borrowers.  $25 million in loans were written off as uncollectible.  It paid out $30 million in interest to its depositors and collected $25 million for various fees it charged.  Administration costs were $22 million and taxes were $3 million.  What was the value of Stealth Bank's accounting profits?

A: $135 million
B: $80 million
C: $75 million
D: $45 million",D: $45 million,"Principles of Economics, 3rd Edition",17,financial markets
"49. Last year Stealth Bank received $60 million in interest payments from borrowers.  $20 million in loans were written off as uncollectible.  It paid out $22 million in interest to its depositors and collected $35 million for various fees it charged.  Administration costs were $15 million and taxes were $3 million.  What was the value of Stealth Bank's accounting profits?

A: $35 million
B: $15 million
C: $50 million
D: $57 million",A: $35 million,"Principles of Economics, 3rd Edition",17,financial markets
"50. A mutual fund that seeks to imitate the overall behaviour of the stock market is called ____________________ .

A: a long-run collectibles fund
B: an index fund
C: a mortgage-backed securities fund
D: an indexed retirement age fund",B: an index fund,"Principles of Economics, 3rd Edition",17,financial markets
"51. Which of the following would be the least likely method for firms to raise the financial capital they need to pay for new equipment?

A: issuing bonds
B: reinvesting profits
C: borrowing from households
D: selling stock",C: borrowing from households,"Principles of Economics, 3rd Edition",17,financial markets
"52. _______________ of well-to-do individuals often put their own money into small new companies at an early stage of development, in exchange for owning some portion of the firm.

A: A venture fund
B: A collateral group
C: A network
D: Partnerships",C: A network,"Principles of Economics, 3rd Edition",17,financial markets
"53. In the United States, venture capital firms invested __________ in 2009.

A: two-thirds less
B: in certificates of deposit
C: $3 billion in NINJA loans
D: $21 billion",D: $21 billion,"Principles of Economics, 3rd Edition",17,financial markets
"54. Jackie has invested $25,000 for a 10 period at a guaranteed interest rate of 9%.  If Jackie decides to sell her investment before the 10-year period has ended, she may receive less if the interest rates at that time are lower.  Jackie is a

A: shareholder
B: owner of a certificate of deposit
C: angel investor
D: bondholder",D: bondholder,"Principles of Economics, 3rd Edition",17,financial markets
"55. Investors who believe that the stock is _____________ , relative to the fundamental value of its future expected profits, will sell their shares to those who believe that the stock is __________.

A: overvalued; undervalued
B: undervalued; overvalued
C: momentum trading; less risky
D: high risk; disadvantaged",A: overvalued; undervalued,"Principles of Economics, 3rd Edition",17,financial markets
"56. The bottom line on investing in individual stocks is: _______________ on average over lengthy periods of time; ________________, especially in the short run; _______________, since stock does need to be sold to turn gains into spendable money.

A: low rate of return; high risk; low liquidity
B: moderate rate of return; low risk; high liquidity
C: high rate of return; moderate risk; low liquidity
D: high rate of return; high risk; moderate liquidity",D: high rate of return; high risk; moderate liquidity,"Principles of Economics, 3rd Edition",17,financial markets
"57. The old proverb: “Don't put all your eggs in one basket” is synonymous with which of the following?

A: an average rate of return
B: predicting value of tangible assets
C: diversified investments
D: a flexible rate of return",C: diversified investments,"Principles of Economics, 3rd Edition",17,financial markets
"60. Since stock prices will shift in response to unpredictable future news, these prices will tend to follow what mathematicians call _________________.

A: a random walk with a trend
B: momentum trading
C: long-term fundamental value
D: unpredictable changes in expectations",A: a random walk with a trend,"Principles of Economics, 3rd Edition",17,financial markets
"1. Goods and services produced in one country that are then sold in other countries are called ____________.

A: exports
B: tradeable items
C: surplus items
D: economic stimulants",A: exports,"Principles of Economics, 3rd Edition",23,international trade capital flows
"2. The term __________ is used to describe what those in one country buy from those in other countries.

A: exports
B: imports
C: trade
D: surplus",B: imports,"Principles of Economics, 3rd Edition",23,international trade capital flows
"3. The term _____________ describes circumstances where a country's exports exceed its imports.

A: trade deficit
B: trade imbalance
C: trade surplus
D: trade balance",C: trade surplus,"Principles of Economics, 3rd Edition",23,international trade capital flows
"4. The term _____________ describes circumstances where a country's imports exceed its exports.

A: trade imbalance
B: trade balance
C: trade surplus
D: trade deficit",D: trade deficit,"Principles of Economics, 3rd Edition",23,international trade capital flows
"5. The term ""merchandise trade balance"" is used to describe:

A: the balance of trade in services.
B: the balance of trade in goods.
C: the level of trade in goods.
D: the level of trade in services.",B: the balance of trade in goods.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"6. A country's current account balance refers to a broad measure of the balance of trade that includes:

A: merchandise, services, and foreign capital investments.
B: goods, foreign capital investments, exported domestic services.
C: goods and services, international flows of income, and foreign aid.
D: merchandise, foreign aid and imported domestic services.","C: goods and services, international flows of income, and foreign aid.","Principles of Economics, 3rd Edition",23,international trade capital flows
"7. With respect to the national saving and investment identity for any country, the quantity of _______________ at any given time by savings must ________________ for purposes of making investments.

A: foreign aid supplied; be lower than the quantity of domestic aid demanded
B: foreign financial capital imports; equal to supply of domestic capital available
C: foreign capital imports; less than the supply of domestic capital available
D: financial capital supplied; equal the quantity of capital financial demanded",D: financial capital supplied; equal the quantity of capital financial demanded,"Principles of Economics, 3rd Edition",23,international trade capital flows
"8. The ________________ refers to the gap that can exist between what a nation’s _____________, and a nation’s ____________________.

A: balance of trade; producers sell abroad; imports
B: merchandise trade balance; exports; imports
C: trade surplus; exported services; imported goods
D: trade deficit; producers purchase abroad; exports",A: balance of trade; producers sell abroad; imports,"Principles of Economics, 3rd Edition",23,international trade capital flows
"9. If exports ______________, then the economy is said to have a trade surplus.

A: equal imports
B: exceed imports
C: precede imports
D: follow imports",B: exceed imports,"Principles of Economics, 3rd Edition",23,international trade capital flows
"10. If imports ______________, then the economy is said to have a trade deficit.

A: precede exports
B: follow exports
C: equal exports
D: exceed exports",D: exceed exports,"Principles of Economics, 3rd Edition",23,international trade capital flows
"11. If exports and imports:

A: are imbalanced, then a trade surplus exists.
B: are imbalanced, then a trade deficit exits.
C: are equal, then trade is balanced.
D: are equal, then the economy is unhealthy.","C: are equal, then trade is balanced.","Principles of Economics, 3rd Edition",23,international trade capital flows
"12. A series of macroeconomic events has led an economy into a deep recession. Which of the following factors is most likely to have initiated this series of events?

A: level of trade
B: unbalanced trade
C: deficit level of trade
D: merchandize trade imbalance",B: unbalanced trade,"Principles of Economics, 3rd Edition",23,international trade capital flows
"13. From a macroeconomic perspective, if GDP economic indicators show a decline of 10% or more in a single year, then which of the following outcomes is most likely to result?

A: deep economic recession
B: influx of foreign capital
C: lessening of foreign aid
D: merchandise trade surplus",A: deep economic recession,"Principles of Economics, 3rd Edition",23,international trade capital flows
"14. Which of the following countries suffered deep recessions as a result of pessimistic foreign investors moving their money to other countries?

A: Russia, and Indonesia
B: Thailand, Argentina and Malaysia
C: North Korea and Malaysia
D: South Korea and a and b",D: South Korea and a and b,"Principles of Economics, 3rd Edition",23,international trade capital flows
"15. Trade surpluses and trade deficits can be __________________ for an economy in certain circumstances.

A: beneficial
B: harmful
C: either a or b
D: neither a or b",C: either a or b,"Principles of Economics, 3rd Edition",23,international trade capital flows
"16. An economy with a larger involvement in foreign trade:

A: is more likely to suffer a larger trade imbalance.
B: may measure its exports as a share of GDP.
C: has a substantial trade imbalance.
D: has an underlying trade imbalance.",B: may measure its exports as a share of GDP.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"17. The extent to which a national economy is involved in global trade:

A: is not very strongly related to the issue of whether the economy has a substantial trade imbalance.
B: is not very strongly related to the underlying economic meaning of trade imbalances.
C: is not very strongly related to either a or b above.
D: is very strongly related to both a and b above.",C: is not very strongly related to either a or b above.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"18. What is the most common method of measuring flows of trade?

A: amount of physical items transported between countries
B: amount of manufactured items transported by truck
C: comparing annual amounts of goods and services exchanged between countries
D: comparing exports of goods, services, and financial capital between countries","D: comparing exports of goods, services, and financial capital between countries","Principles of Economics, 3rd Edition",23,international trade capital flows
"19. In most high-income economies, including the United States, goods currently make up ___________, while services currently compose ____________.

A: more than half of total production; less than half of total production
B: less than half of total production; more than half of total production
C: the merchandise trade balance; the capital trade balance
D: the merchandise trade balance; the retail trade balance",B: less than half of total production; more than half of total production,"Principles of Economics, 3rd Edition",23,international trade capital flows
"20. The surge in international trade related to services to be performed in one country and sold in another that began in the 1990s has been powered by which of the following?

A: technological advances
B: telecommunications
C: computers
D: customer service, finance, law",A: technological advances,"Principles of Economics, 3rd Edition",23,international trade capital flows
"21. At the outset of the 21st century, most global trade took the form of:

A: services, rather than goods.
B: goods, rather than services.
C: equal trade in goods and services.
D: trade surpluses in the service sector.","B: goods, rather than services.","Principles of Economics, 3rd Edition",23,international trade capital flows
"22. Economists typically rely on a broader measure of international trade known as the ___________________, which includes _____________________________.

A: current trade balance; foreign aid announced by the government.
B: current trade balance; finance, law, and software product design.
C: current account balance; telecommunications, computers, finance, law, and advertising.
D: current account balance; goods, services, international income flows, and foreign aid.","D: current account balance; goods, services, international income flows, and foreign aid.","Principles of Economics, 3rd Edition",23,international trade capital flows
"23. In the United States, which of the following government institutions would most likely provide economists with the basic data for merchandise trade?

A: Census Bureau
B: Department of Commerce
C: Bureau of Economic Analysis
D: Department of the Treasury",A: Census Bureau,"Principles of Economics, 3rd Edition",23,international trade capital flows
"24. In the U.S., all companies involved in international flows of capital must file reports, which are ultimately compiled by the:

A: Census Bureau.
B: Department of the Treasury.
C: Bureau of Economic Analysis.
D: Department of Commerce.",B: Department of the Treasury.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"25. One of the following must be used as a starting point in order to perform an analysis that will determine what the connections between imbalances of trade in goods and services and the flows of international financial capital are. Which one is it?

A: sketch patterns of trade deficits
B: sketch patterns of trade surpluses
C: define the level of trade
D: define the balance of trade",D: define the balance of trade,"Principles of Economics, 3rd Edition",23,international trade capital flows
"26. An economics professor is discussing a measure of trade that involves a comparison of exports and imports of goods for the year just ended. What name is given to this measurement?

A: export trade balance
B: merchandise trade balance
C: import trade balance
D: current account balance",B: merchandise trade balance,"Principles of Economics, 3rd Edition",23,international trade capital flows
"27. Why would an analyst include, among other things, airplane parts, legal services and software, in an analysis of international economic trade?

A: to determine the merchandise trade balance
B: to determine the balance of trade in services
C: to determine the current account balance
D: to determine the international flow of income",C: to determine the current account balance,"Principles of Economics, 3rd Edition",23,international trade capital flows
"28. From a macroeconomic perspective, an economic transaction in the form of a financial investment is synonymous with which of the following?

A: a productive economic asset
B: trade resulting from unilateral transfers
C: trade in the financial capital market
D: a stream of payments leaving the country",C: trade in the financial capital market,"Principles of Economics, 3rd Edition",23,international trade capital flows
"29. From an economic perspective, returns on foreign investment are included in the overall measure of trade because financial investments:

A: are a form of trade that takes place in the financial capital market.
B: can also be thought of as payments made by the government.
C: are made by parties in the U.S. economy and foreign investors.
D: have expanded substantially in the U.S. over the last few decades.",A: are a form of trade that takes place in the financial capital market.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"30. Which of the following would most likely be included in the positive side of the U.S. current account balance?

A: U.S. foreign aid sent to as disaster relief to Haiti
B: interest payments to foreign investors invested in the U.S.
C: money spent by U.S. tourists in Europe
D: money earned by U.S. firms in Europe",D: money earned by U.S. firms in Europe,"Principles of Economics, 3rd Edition",23,international trade capital flows
"31. Which of the following would most likely be included in the negative side of the current account balance?

A: money earned by Canadian firms in the U.S.
B: money spent by Canadian tourists in the U.S.
C: returns paid to U.S. investors in Southeast Asia
D: European aid sent to the U.S. to fund the Iraq war",A: money earned by Canadian firms in the U.S.,"Principles of Economics, 3rd Edition",23,international trade capital flows
"32. In 2010, a small country imported goods worth $500 billion and exported goods worth $443 billion. It exported services worth $248 billion and imported services worth $330 billion. Payments on investments abroad totaled $199 billion, while returns paid on foreign investments were $125 billion. Unilateral transfers from the country to other nations amounted to $94 billion. What was the country's merchandise trade deficit for 2010?

A: $70 billion
B: $154 billion
C: $57 billion
D: $65 billion",A: $70 billion,"Principles of Economics, 3rd Edition",23,international trade capital flows
"33. In 2010, a country imported goods worth $500 billion and exported goods worth $443 billion. It exported services worth $248 billion and imported services worth $330 billion. Payments on investments abroad totaled $199 billion, while returns paid on foreign investments were $125 billion. Unilateral transfers from the country to other nations amounted to $94 billion. What was the country’s current account balance for 2010?

A: $70 billion
B: $159 billion
C: $142 billion
D: $65 billion",B: $159 billion,"Principles of Economics, 3rd Edition",23,international trade capital flows
"34. In 2010, the country of Vesey exported goods worth $312 billion and services worth $198 billion. It imported goods worth $525 billion and services worth $255 billion. It sent $1.2 billion in famine relief to Africa, and received $3 billion to support its first democratic election efforts.  What was the merchandise trade deficit in Vesey in 2010?

A: $213 billion
B: $270 billion
C: $57 billion
D: $1.8 billion",A: $213 billion,"Principles of Economics, 3rd Edition",23,international trade capital flows
"35. In 2010, the country of Vesey exported goods worth $312 billion and services worth $198 billion. It imported goods worth $525 billion and services worth $255 billion. It sent $1.2 billion in famine relief to Africa, and received $3 billion to support its first democratic election efforts.  What was the current account balance in Vesey for 2010?

A: $251.2 billion
B: $270.6 billion
C: $213.3 billion
D: $271.8 billion",D: $271.8 billion,"Principles of Economics, 3rd Edition",23,international trade capital flows
"36. The final category of the current account balance is ____________________, which can be thought of as payments made by individuals in which money is sent abroad _________________________.

A: income payments; and the returns are received from abroad
B: trade in services; by domestic financial firms are treated like imports
C: unilateral transfers; without any direct good or service being received
D: exports of goods; can cause a merchandise trade deficit",C: unilateral transfers; without any direct good or service being received,"Principles of Economics, 3rd Edition",23,international trade capital flows
"37. Which of the following accurately reflects the pattern of the U.S. current account balance during the periods: 1991; the late 1990s through to the mid-2000s; and 2009 following the onset of recession?

A: larger deficit; tiny surplus; surplus declined
B: tiny surplus; larger deficit; deficit declined
C: surplus declined; larger deficit; tiny surplus
D: larger deficit; surplus declined; tiny deficit",B: tiny surplus; larger deficit; deficit declined,"Principles of Economics, 3rd Edition",23,international trade capital flows
"38. In 2009, because U.S. imports were $2,535 billion while exports were $2,116 billion:

A: imports exceeded exports by a sizeable $419 billion.
B: there was a huge influx of foreign capital into the U.S. economy.
C: government policy caused a lessening of foreign aid.
D: exports exceeded imports by a sizeable $419 billion.",A: imports exceeded exports by a sizeable $419 billion.,"Principles of Economics, 3rd Edition",23,international trade capital flows
